Degree,Major,Skills,Certifications,GPA,Internship_Experience,Number_of_Projects,Job_Role
M.Tech,Electronics,"C++, Deep Learning, Machine Learning, PHP, Python, SQL, TensorFlow",Google Cloud,7.53,1.0,5,AI Engineer
B.Tech,Data Science,"AWS, Azure, Docker, Kubernetes, Linux",Azure,7.49,0.0,2,Cloud Engineer
M.Tech,Information Technology,"Deep Learning, Machine Learning, Python, TensorFlow",AWS,8.69,1.0,1,AI Engineer
B.Tech,Computer Science,"C++, JavaScript, SQL",AWS,7.0,1.0,4,Software Developer
M.Tech,Computer Science,"Docker, Git, Java, Kubernetes, Linux",Google Cloud,7.48,0.0,3,DevOps Engineer
MCA,Information Technology,"AWS, Azure, Docker, Linux",AWS,7.53,3.0,2,Cloud Engineer
M.Tech,Information Technology,"AWS, PHP, Python, SQL",AWS,9.87,1.0,6,Data Scientist
B.E,Data Science,"C++, Java, JavaScript, MongoDB, Python, SQL",Cisco,7.67,3.0,4,Software Developer
B.Tech,Computer Science,"AWS, Azure, C++, Kubernetes, Linux, Machine Learning",AWS,7.19,1.0,1,Cloud Engineer
MCA,Computer Science,"Git, Java, JavaScript, Node.js, PHP, React",None,6.6,2.0,4,Frontend Developer
B.Tech,Electronics,"Machine Learning, MongoDB, Node.js, Python, SQL, TensorFlow",Google Cloud,7.97,2.0,3,Backend Developer
B.Sc,Computer Science,"Docker, Git, JavaScript, Kubernetes, Node.js, React",None,6.29,0.0,6,Frontend Developer
B.Tech,Computer Science,"Git, Python, SQL",Azure,8.17,1.0,3,Backend Developer
B.Tech,Data Science,"AWS, Azure, C++, Git, Java, JavaScript, Python, SQL",Azure,8.7,1.0,3,Software Developer
B.Tech,Information Technology,"C++, Deep Learning, Docker, Machine Learning, Python, TensorFlow",None,,2.0,7,AI Engineer
M.Tech,Computer Science,"Git, Java, MongoDB, Node.js",AWS,6.87,0.0,3,Backend Developer
B.Tech,Computer Science,"C++, Git, Java, JavaScript, PHP, Python, SQL",Cisco,7.9,2.0,5,Software Developer
MCA,Computer Science,"JavaScript, PHP, React",Cisco,8.6,3.0,4,Frontend Developer
B.Tech,Computer Science,"Azure, JavaScript, Machine Learning, Python, SQL",None,8.96,3.0,3,Data Scientist
B.Tech,Information Technology,"Azure, Java, MongoDB, Node.js, SQL",AWS,7.18,1.0,2,Backend Developer
MCA,Computer Science,"C++, Kubernetes, Machine Learning, Python, SQL, TensorFlow",Google Cloud,7.63,3.0,7,AI Engineer
B.E,Computer Science,"AWS, Git, Java, MongoDB, Node.js, Python, React, SQL",AWS,6.64,0.0,2,Backend Developer
